headline,url
"With all eyes on Russia, here's a look at how soon an invasion could happen and how it might play out",https://edition.cnn.com/2022/01/28/europe/ukraine-russia-explainer-war-threat-cmd-intl/index.html
Ukraine's President urges leaders to tone down war rhetoric,https://edition.cnn.com/2022/01/28/europe/ukraine-russia-zelensky-biden-intl/index.html
Ukraine official: Biden's call with President 'did not go well',https://edition.cnn.com/2022/01/27/politics/biden-zelensky-call/index.html
Russia says it doesn't want war ,https://edition.cnn.com/europe/live-news/ukraine-russia-news-1-28-22/index.html
Images emerge of one the US Navy's newest stealth fighters crashing into the sea,https://edition.cnn.com/2022/01/28/asia/us-navy-f-35-crash-photos-intl-hnk-ml/index.html
Inside the $128 million heist that shocked the world -- and the police chase that followed,https://edition.cnn.com/style/article/dresden-green-vault-heist-trial-intl-cmd/index.html
Bridge in Pittsburgh collapses hours before Biden due to talk infrastructure,https://edition.cnn.com/2022/01/28/us/pittsburgh-bridge-collapse/index.html
"1,500 US flights canceled for Saturday",https://edition.cnn.com/2022/01/28/business/winter-storm-flight-cancellations/index.html
Why China's Olympics matter to Putin,https://edition.cnn.com/2022/01/28/opinions/putin-xi-relationship-ukraine-ghitis/index.html
'I'm an ice cream guy': Fox has meltdown over Biden's visit to ice cream shop ,https://edition.cnn.com/videos/media/2022/01/28/biden-ice-cream-visit-fox-meltdown-dlt-vpx.cnn
Iran nuclear deal: US warns time running out ,https://edition.cnn.com/2022/01/28/politics/iran-talks-round-eight-pause/index.html
US to block millions for Egypt,https://edition.cnn.com/2022/01/28/politics/egypt-military-aid-human-rights/index.html
Death toll rises from Tropical Cyclone Ana,https://edition.cnn.com/2022/01/28/africa/southern-africa-storm-ana-intl/index.html
Opinion: World's strongmen could fall on their Covid swords,https://edition.cnn.com/2022/01/28/opinions/strongman-elections-orban-bolsonaro-duterte-ben-ghiat/index.html
See off-duty cop take down attempted armed robber,https://edition.cnn.com/videos/world/2022/01/28/armed-robbery-barcelona-supermarket-orig-kj.cnn
First female director appointed for NASA center,https://edition.cnn.com/2022/01/28/world/nasa-jpl-first-female-director-scn/index.html
Elon Musk just took the entire EV sector down with these comments,https://edition.cnn.com/2022/01/28/investing/elon-musk-tesla-stock-slide/index.html
Survivor criticizes light use of Holocaust,https://edition.cnn.com/videos/world/2022/01/28/holocaust-memorial-day-nobilo-tgb-intl-hnk-vpx.cnn
Arizona hiker fell 700 feet to his death while trying to take a photo,https://edition.cnn.com/2022/01/28/us/arizona-hiker-photo-fall-death/index.html
'Mighty Ducks' star Shaun Weiss celebrates sobriety with striking before-and-after pics,https://edition.cnn.com/2022/01/28/entertainment/shaun-weiss-sobriety-intl-scli/index.html
SoftBank COO is latest to quit,https://edition.cnn.com/2022/01/28/business/softbank-coo-marcelo-claure-intl-hnk/index.html
These are the world's best-selling planes,https://edition.cnn.com/travel/article/world-best-selling-airplanes/index.html
Iranian women allowed to watch landmark moment as Iran qualifies for World Cup,https://edition.cnn.com/2022/01/28/football/iranian-women-football-world-cup-qualification-spt-intl/index.html
Couple renovating 115-year-old building discovered two 60-foot-long hidden murals,https://edition.cnn.com/style/article/couple-discover-murals-during-renovation-trnd/index.html
Tensions with Russia worry former US astronauts about the partnership in space ,https://edition.cnn.com/2022/01/28/business/us-russia-ukraine-iss-space-scn/index.html
Rare snowfall turns Jerusalem into winter wonderland,https://edition.cnn.com/videos/world/2022/01/27/jerusalem-covered-in-snow-ctw-gold-vpx.cnn
Google pumps $1B more into smartphones,https://edition.cnn.com/2022/01/28/tech/google-india-bharti-airtel-intl-hnk/index.html
The Sussexes' streaming shake-up,https://edition.cnn.com/2022/01/28/uk/royal-news-newsletter-01-28-21-scli-gbr-cmd-intl/index.html
Do you have 'eco-anxiety'? Here's how to find out,https://edition.cnn.com/2022/01/28/health/eco-anxiety-harmful-for-health-wellness/index.html
See inside German-led NATO base near Ukraine,https://edition.cnn.com/videos/world/2022/01/28/nato-base-germany-lithuania-cbc-affil-ldn-vpx.cbc
In pictures: Photography contest turns lens on life in China,https://edition.cnn.com/style/article/global-sinophoto-awards-2021/index.html
A woman has never won this Oscar. That could soon change,https://edition.cnn.com/style/article/women-cinematographers-oscars-ari-wegner-claire-mathon-helene-louvart-spc-intl/index.html
Italy's former royal family wants the crown jewels back,https://edition.cnn.com/style/article/italy-crown-jewels-scli-intl/index.html
Breakfast around the world: How different places start the day,https://edition.cnn.com/travel/article/breakfast-food-around-the-world/index.html
Nadal is just one win away from becoming tennis GOAT,https://edition.cnn.com/2022/01/28/tennis/rafael-nadal-australian-open-grand-slam-record-spt-intl/index.html
Here's the way to exercise for better balance,https://edition.cnn.com/2022/01/28/health/exercises-to-improve-balance-wellness/index.html
Woman takes detour for snow mountain scenes. Here's what she finds instead ,https://edition.cnn.com/videos/us/2022/01/26/tiktok-nc-gastonia-switzerland-affil-pkg-hnk-vpx.wbtv
'How can you be so bad?' Medvedev clashes with umpire in semifinal win,https://edition.cnn.com/2022/01/28/tennis/daniil-medvedev-australian-open-semifinal-spt-intl/index.html
